84820946,2,59
434009730,4,70
930887317,2,56
882228542,1,51
659240869,5,48
691477134,8,5
952589429,8,19
465764930,6,89
330672233,3,91
257234494,5,85
328039849,6,58
613210106,1,45
695142142,5,75
884080589,6,90
687679682,3,71
464407901,8,87
289138827,0,24
150054806,7,97
724646238,1,20
40152650,6,69
682967665,5,91
982841214,2,22
319456434,7,68
617470874,0,66
969909647,2,90
474299922,7,93
67452271,2,38
801126689,6,40
872650859,4,16
343101544,8,93
729630217,1,41
592380155,0,11
45223254,8,91
292410095,2,86
122981462,8,65
513456250,4,79
700495609,6,1
339730126,8,17
642868071,7,34
941286535,3,50
797403574,6,66
357549787,3,24
197440655,6,53
593031274,7,52
308371321,2,32
844834131,6,42
694158228,6,11
76694404,4,51
546881495,1,59
683876612,3,68
164848431,9,53
703647038,4,64
755196569,8,98
764912404,7,82
648068507,7,45
876557311,4,73
8743285,7,58
216171954,8,58
56340566,1,49
506541962,7,12
110669694,7,17
372900311,7,25
764146782,1,14
626724717,3,76
435018151,4,89
3720065,0,26
358708601,1,92
305541802,2,30
684680587,6,2
882088475,7,68
727246539,4,51
859805848,8,70
886189168,0,45
853224340,5,83
548682858,1,44
38047456,3,71
125197446,0,30
677295381,8,70
37751157,2,78
410689994,5,0
529763136,9,96
536757088,8,5
837266762,9,5
987520875,4,30
234292934,2,28
860002350,0,56
592142730,4,37
483083830,0,48
803567889,8,49
261071633,5,67
990917615,9,34
370922806,5,48
879745965,0,84
712168405,8,86
573803178,4,98
914537234,1,20
585225071,2,97
565841124,4,20
955546707,1,23
348924180,4,12
352102297,4,86
924671760,4,55
319211498,2,39
899162154,6,97
434942028,9,67
606052062,4,17
156915148,8,65
574254670,9,23
195302582,3,60
516160296,7,89
54299705,2,86
765232039,0,34
965231383,7,42
26155103,4,89
874046260,4,7
716896113,8,68
256609018,7,39
901579170,0,74
685352488,4,89
694978163,4,88
920935664,0,63
350861918,7,79
171398184,5,31
343620926,6,40
422878137,1,61
185540290,1,1
167969511,1,40
48620798,2,5
444759011,6,33
785225598,8,89
434893051,7,35
94234366,9,41
636316842,7,78
621325640,9,32
751156484,3,83
244492446,2,80
632413073,8,32
697967921,3,6
713710788,5,70
785755053,3,77
566079321,6,47
404684769,1,54
600965200,9,19
199363022,7,83
467663117,2,61
230147754,9,36
287512577,0,1
927268475,0,60
372705082,6,81
123420585,3,96
402758086,9,52
143300106,5,55
416395499,5,92
972404382,8,6
319401336,5,13
290946720,5,59
662865219,6,35
412718689,7,94
37361188,5,6
331819120,8,7
290946795,6,16
480010168,8,98
459548471,8,90
455875703,5,87
358099238,5,92
17018337,3,8
496354373,0,44
188297826,1,50
904379184,6,58
456240081,3,34
953839975,1,2
511666381,2,81
301600685,0,2
87942991,1,73
646578617,0,37
318487093,2,35
746775539,6,83
171358844,8,16
593574011,7,97
616593592,3,37
946484887,9,42
982625912,9,14
56665293,7,79
213517251,9,53
338786724,9,58
809210347,7,74
925676193,2,60
447208065,8,57
7686136,7,99
98036342,2,85
385515402,1,63
382329818,4,42
617906595,4,71
952435896,4,54
792028366,2,75
23895917,2,8
440226142,0,57
368427208,7,85
861578701,1,16
296221487,0,99
139751444,8,23
368408438,7,58
756151207,0,76
224751380,0,8
668452857,5,50
203039295,0,70
988986801,9,45
350616675,2,4
577267540,4,34
737502366,0,43
28573558,5,29
26983827,8,12
70749408,5,82
768092641,2,84
382108020,5,83
625780560,5,40
341524919,6,18
637545231,6,33
21660148,5,83
451341729,4,39
571384079,3,46
694001869,0,9
980254797,5,81
928730346,8,19
472977893,4,97
944751510,7,25
3763742,7,58
807985236,4,22
501505443,2,51
484626494,5,65
279819564,2,36
313415892,9,73
957273541,7,37
467672344,3,23
484072438,6,71
541867807,4,43
869096141,5,7
496895362,9,23
417906497,1,35
329223053,0,11
356429747,7,22
439508478,5,56
350868594,0,9
262131637,5,42
921916597,9,47
524871113,6,50
563825297,7,0
274256285,3,13
853655844,1,50
53967452,0,81
739332274,9,34
399597461,5,6
621838824,7,33
606545135,4,89
297871222,1,30
385234463,9,35
849719581,9,58
754181004,3,73
280557797,7,92
126942811,8,51
24242931,4,8
592056009,5,9
538489805,2,82
596924193,4,22
346705867,3,87
488283789,4,45
544237912,6,90
76811459,1,5
641529673,4,9
338846126,8,17
112039462,8,47
276345123,6,80
565475827,3,82
668229792,1,53
340974069,7,96
839967846,9,57
150893023,1,70
460161457,4,25
847779484,2,15
844926985,1,61
70784574,5,61
369298486,9,57
789877912,5,98
826476929,8,6
149987582,7,39
26494965,8,3
648394045,7,11
598286587,9,11
82951144,9,20
450800548,8,87
146652047,3,93
433382631,9,64
923550226,4,39
55976065,6,10
643783557,8,33
632445150,3,97
152640854,8,73
353031722,1,58
277101326,5,62
363722409,5,91
359472284,4,86
448758218,2,84
983587224,9,58
926312554,8,0
322958620,2,29
92040950,4,74
462293132,3,49
109033073,1,23
89682078,5,75
538821369,3,37
705419509,4,11
120987548,2,72
238103428,6,94
315953452,1,61
549461632,7,58
891518547,5,88
938312839,7,9
110577995,3,31
222720859,9,78
202446719,8,62
841439925,2,25
168727363,8,79
841962508,9,60
306186320,8,41
241306351,3,81
227742424,6,11
279202598,1,5
271173585,3,99
312003728,3,40
513773381,0,6
273516583,7,64
362948808,6,75
813003712,3,58
691004020,4,3
903936169,3,24
490194186,7,49
922887001,4,56
637845753,3,96
686918536,7,65
845279617,8,1
343398051,9,43
846599784,5,45
234517206,2,88
303398093,7,36
749206807,4,57
31721616,5,92
614357194,5,5
851644679,8,10
995161352,5,98
479798700,8,53
626435267,9,70
722446401,0,92
191966222,9,4
499847200,0,98
857574959,1,6
232991620,8,50
416305490,0,19
352986460,3,95
38512072,9,92
644122685,3,78
451233866,3,80
107594100,3,56
843091841,6,8
705341188,7,9
27094584,4,62
36414780,1,26
978069857,5,25
252646667,5,90
115415547,0,15
799689813,9,15
380987674,4,47
849121824,1,81
77419571,5,35
163298902,9,72
687801850,5,65
320198245,1,5
987467075,4,37
708166873,3,68
626373525,9,70
837442849,2,66
318493815,0,51
844286178,0,7
166402955,5,90
730391092,5,38
831199135,1,7
510114881,7,3
411118462,9,1
75394300,8,78
78343393,6,35
187542058,2,11
424186094,4,9
428502826,2,5
749389022,1,72
921888477,2,31
73862127,8,53
619044600,3,36
182009649,3,90
678169562,6,94
828103097,9,9
837396149,2,52
